#;Código DIVIPOLA;DEPARTMENT;Municipality;TOTAL;Urban Area ;Rural Area
367;19110;Cauca;Buenos Aires;31436;1218;30218
368;19130;Cauca;Cajibío;42014;2202;39812
369;19137;Cauca;Caldono;39946;2174;37772
370;19142;Cauca;Caloto;30181;5297;24884
371;19212;Cauca;Corinto;25286;12880;12406
372;19256;Cauca;El Tambo;53891;3003;50888
373;19290;Cauca;Florencia;5202;1224;3978
374;19300;Cauca;Guachené ;19671;6480;13191
375;19318;Cauca;Guapi;27616;13932;13684
376;19355;Cauca;Inzá;28879;1308;27571
377;19364;Cauca;Jambaló;17841;1895;15946
378;19392;Cauca;La Sierra;10749;1822;8927
379;19397;Cauca;La Vega;24501;1040;23461
380;19418;Cauca;López;18580;1875;16705
381;19450;Cauca;Mercaderes;22688;5953;16735
382;19455;Cauca;Miranda;31360;17930;13430
383;19473;Cauca;Morales;38838;2472;36366
384;19513;Cauca;Padilla;9937;4478;5459
385;19517;Cauca;Paez;45776;2971;42805
386;19532;Cauca;Patía;36848;13781;23067
387;19533;Cauca;Piamonte;8811;2109;6702
388;19548;Cauca;Piendamó;40818;14271;26547
389;19573;Cauca;Puerto Tejada;41615;36266;5349
390;19585;Cauca;Puracé;17272;1697;15575
391;19622;Cauca;Rosas;11475;1087;10388
392;19693;Cauca;San Sebastián;10948;668;10280
393;19698;Cauca;Santander de Quilichao;110445;52246;58199
394;19701;Cauca;Santa Rosa;5339;672;4667
395;19743;Cauca;Silvia;37337;4492;32845
396;19760;Cauca;Sotara;13939;571;13368
397;19780;Cauca;Suárez;31904;6380;25524
398;19785;Cauca;Sucre;9489;1633;7856
399;19807;Cauca;Timbío;35479;14562;20917
400;19809;Cauca;Timbiquí;26100;6266;19834
401;19821;Cauca;Toribio;35218;2441;32777
402;19824;Cauca;Totoró;24558;1319;23239
403;19845;Cauca;Villa Rica;20693;14267;6426
404;20001;Cesar;Valledupar;490075;431794;58281
405;20011;Cesar;Aguachica;109621;95851;13770
406;20013;Cesar;Agustín Codazzi;60768;48157;12611
407;20032;Cesar;Astrea;20120;10468;9652
408;20045;Cesar;Becerril;21611;16123;5488
409;20060;Cesar;Bosconia;40022;37676;2346
410;20175;Cesar;Chimichagua;34169;13721;20448
411;20178;Cesar;Chiriguaná;27694;16576;11118
412;20228;Cesar;Curumaní;37399;26422;10977
413;20238;Cesar;El Copey;30159;22469;7690
414;20250;Cesar;El Paso;37531;6922;30609
415;20295;Cesar;Gamarra;14973;9828;5145
416;20310;Cesar;González;4379;1414;2965
417;20383;Cesar;La Gloria;17150;6034;11116
418;20400;Cesar;La Jagua de Ibirico;46722;35513;11209
419;20443;Cesar;Manaure;10047;8389;1658
420;20517;Cesar;Pailitas;18566;13838;4728
421;20550;Cesar;Pelaya;20683;14363;6320
422;20570;Cesar;Pueblo Bello;27007;8556;18451
423;20614;Cesar;Río de Oro;16837;7859;8978
424;20621;Cesar;La Paz;27759;19622;8137
425;20710;Cesar;San Alberto;26247;20857;5390
426;20750;Cesar;San Diego;19022;10517;8505
427;20770;Cesar;San Martín;26674;14370;12304
428;20787;Cesar;Tamalameque;15339;6072;9267
429;23001;Córdoba ;Montería;490935;388499;102436
430;23068;Córdoba ;Ayapel;46968;27626;19342
431;23079;Córdoba ;Buenavista;21078;7755;13323
432;23090;Córdoba ;Canalete;15353;3840;11513
433;23162;Córdoba ;Cereté;105815;59224;46591
434;23168;Córdoba ;Chimá;17529;3817;13712
435;23182;Córdoba ;Chinú;47917;20083;27834
436;23189;Córdoba ;Ciénaga de Oro;59086;22469;36617
437;23300;Córdoba ;Cotorra;19041;5939;13102
438;23350;Córdoba ;La Apartada;14866;11380;3486
439;23417;Córdoba ;Lorica;113909;53420;60489
440;23419;Córdoba ;Los Córdobas;18717;3768;14949
441;23464;Córdoba ;Momil;19590;11825;7765
442;23466;Córdoba ;Montelíbano;81641;61589;20052
443;23500;Córdoba ;Moñitos;29833;6325;23508
444;23555;Córdoba ;Planeta Rica;64205;41228;22977
445;23570;Córdoba ;Pueblo Nuevo;35655;10167;25488
446;23574;Córdoba ;Puerto Escondido;23649;4209;19440
447;23580;Córdoba ;Puerto Libertador;41873;13220;28653
448;23586;Córdoba ;Purísima;17206;7217;9989
449;23660;Córdoba ;Sahagún;107636;53725;53911
450;23670;Córdoba ;San Andrés Sotavento;48610;9750;38860
451;23672;Córdoba ;San Antero;33878;15995;17883
452;23675;Córdoba ;San Bernardo del Viento;37007;9091;27916
453;23678;Córdoba ;San Carlos;26954;4629;22325
454;23682;Córdoba ;San José de Uré(1);13345;5160;8185
455;23686;Córdoba ;San Pelayo;51838;9105;42733
456;23807;Córdoba ;Tierralta;92349;42254;50095
457;23815;Córdoba ;Tuchín;52606;7576;45030
458;23855;Córdoba ;Valencia;35694;16434;19260
459;25001;Cundinamarca;Agua de Dios;11685;9113;2572
460;25019;Cundinamarca;Albán;6438;1715;4723
461;25035;Cundinamarca;Anapoima;14519;5801;8718
462;25040;Cundinamarca;Anolaima;13816;4327;9489
463;25053;Cundinamarca;Arbeláez;10860;4326;6534
464;25086;Cundinamarca;Beltrán;1789;362;1427
465;25095;Cundinamarca;Bituima;2467;451;2016
466;25099;Cundinamarca;Bojacá;9913;7680;2233
467;25120;Cundinamarca;Cabrera;4722;1114;3608
468;25123;Cundinamarca;Cachipay;9972;3511;6461
469;25126;Cundinamarca;Cajicá;82244;54111;28133
470;25148;Cundinamarca;Caparrapí;12569;3083;9486
471;25151;Cundinamarca;Caqueza;17099;7552;9547
472;25154;Cundinamarca;Carmen de Carupa;7580;2093;5487
473;25168;Cundinamarca;Chaguaní;4182;952;3230
474;25175;Cundinamarca;Chía;132181;105509;26672
475;25178;Cundinamarca;Chipaque;9467;2697;6770
476;25181;Cundinamarca;Choachí;10961;4160;6801
477;25183;Cundinamarca;Chocontá;20568;10554;10014
478;25200;Cundinamarca;Cogua;22067;7653;14414
479;25214;Cundinamarca;Cota;32691;20462;12229
480;25224;Cundinamarca;Cucunubá;7626;1131;6495
481;25245;Cundinamarca;El Colegio;23886;10251;13635
482;25258;Cundinamarca;El Peñón;4681;577;4104
483;25260;Cundinamarca;El Rosal;22065;18958;3107
484;25269;Cundinamarca;Facatativá;139441;125348;14093
485;25279;Cundinamarca;Fomeque;11986;5203;6783
486;25281;Cundinamarca;Fosca;5784;1367;4417
487;25286;Cundinamarca;Funza;93154;90671;2483
488;25288;Cundinamarca;Fúquene;4904;168;4736
489;25290;Cundinamarca;Fusagasugá;138498;114722;23776
490;25293;Cundinamarca;Gachala;4436;1546;2890
491;25295;Cundinamarca;Gachancipá;17026;11252;5774
492;25297;Cundinamarca;Gachetá;8425;3388;5037
493;25299;Cundinamarca;Gama;3120;710;2410
494;25307;Cundinamarca;Girardot;101018;95427;5591
495;25312;Cundinamarca;Granada;7179;1840;5339
496;25317;Cundinamarca;Guachetá;13285;5928;7357
497;25320;Cundinamarca;Guaduas;30524;13614;16910
498;25322;Cundinamarca;Guasca;15348;6121;9227
499;25324;Cundinamarca;Guataquí;2848;1204;1644
500;25326;Cundinamarca;Guatavita;6325;2212;4113
501;25328;Cundinamarca;Guayabal de Siquima;4444;1018;3426
502;25335;Cundinamarca;Guayabetal;6232;1967;4265
503;25339;Cundinamarca;Gutiérrez;3410;983;2427
504;25368;Cundinamarca;Jerusalén;2281;800;1481
505;25372;Cundinamarca;Junín;5823;833;4990
506;25377;Cundinamarca;La Calera;29868;13470;16398
507;25386;Cundinamarca;La Mesa;32694;16854;15840
508;25394;Cundinamarca;La Palma;9467;4125;5342
509;25398;Cundinamarca;La Peña;5911;1023;4888
510;25402;Cundinamarca;La Vega;16986;6213;10773
511;25407;Cundinamarca;Lenguazaque;10080;2798;7282
512;25426;Cundinamarca;Macheta;6124;1584;4540
513;25430;Cundinamarca;Madrid;112254;102710;9544
514;25436;Cundinamarca;Manta;3737;990;2747
515;25438;Cundinamarca;Medina;8014;4103;3911
516;25473;Cundinamarca;Mosquera;130221;128012;2209
517;25483;Cundinamarca;Nariño;2333;1641;692
518;25486;Cundinamarca;Nemocón;13171;6389;6782
519;25488;Cundinamarca;Nilo;10819;2752;8067
520;25489;Cundinamarca;Nimaima;3589;685;2904
521;25491;Cundinamarca;Nocaima;6092;1918;4174
522;25506;Cundinamarca;Venecia;4218;1202;3016
523;25513;Cundinamarca;Pacho;24413;12714;11699
524;25518;Cundinamarca;Paime;4186;507;3679
525;25524;Cundinamarca;Pandi;4973;1097;3876
526;25530;Cundinamarca;Paratebueno;8328;3455;4873
527;25535;Cundinamarca;Pasca;9105;2763;6342
