Code Department;Code Municipality;Department;Municipality;Longitude;Latitude;TOTAL;Urban Area;Rural Area;;
15;15469;Boyacá;Moniquirá;-73.57337039;5.876334811;22572;11539;11033;;
15;15476;Boyacá;Motavita;-73.36784105;5.5776996;5569;742;4827;;
15;15480;Boyacá;Muzo;-74.10275078;5.532462867;8597;5392;3205;;
15;15491;Boyacá;Nobsa;-72.93985317;5.771042624;15976;5026;10950;;
15;15494;Boyacá;Nuevo Colón;-73.45713618;5.355145864;5121;993;4128;;
15;15500;Boyacá;Oicatá;-73.30840398;5.595234239;2821;400;2421;;
15;15507;Boyacá;Otanche;-74.18096474;5.657535713;8018;3449;4569;;
15;15511;Boyacá;Pachavita;-73.39695306;5.140064731;2467;520;1947;;
15;15514;Boyacá;Páez;-73.05431038;5.095234631;3283;1353;1930;;
15;15516;Boyacá;Paipa;-73.11791688;5.77994187;33535;20021;13514;;
15;15518;Boyacá;Pajarito;-72.70320992;5.293665206;2390;960;1430;;
15;15522;Boyacá;Panqueba;-72.45920027;6.443075415;1717;810;907;;
15;15531;Boyacá;Pauna;-73.97844872;5.656322691;7185;2073;5112;;
15;15533;Boyacá;Paya;-72.42377541;5.625698707;2593;481;2112;;
15;15537;Boyacá;Paz de Río;-72.74913738;5.987644906;4285;2788;1497;;
15;15542;Boyacá;Pesca;-73.05087224;5.558807609;6852;2245;4607;;
15;15550;Boyacá;Pisba;-72.48594682;5.721615112;1763;527;1236;;
15;15572;Boyacá;Puerto Boyacá;-74.58799919;5.977934952;46736;32979;13757;;
15;15580;Boyacá;Quípama;-74.17772939;5.518370385;4889;1326;3563;;
15;15599;Boyacá;Ramiriquí;-73.33486896;5.400221644;9887;4053;5834;;
15;15600;Boyacá;Ráquira;-73.63249716;5.539065827;7877;2217;5660;;
15;15621;Boyacá;Rondón;-73.20847397;5.357400116;2407;600;1807;;
15;15632;Boyacá;Saboyá;-73.76466062;5.697733432;13588;978;12610;;
15;15638;Boyacá;Sáchica;-73.54263447;5.583592497;5452;2567;2885;;
15;15646;Boyacá;Samacá;-73.48564359;5.492314591;18298;7075;11223;;
15;15660;Boyacá;San Eduardo;-73.077143;5.22395594;1701;732;969;;
15;15664;Boyacá;San José de Pare;-73.54537245;6.018975771;4988;978;4010;;
15;15667;Boyacá;San Luis de Gaceno;-73.16835942;4.819690447;5499;2444;3055;;
15;15673;Boyacá;San Mateo;-72.55526421;6.401683318;3332;1163;2169;;
